Gene	Uniprot
CALD1	Q05682
CALHM4	Q5JW98
CALML5	Q9NZT1
CALN1	Q9BXU9
CAMK2A	Q9UQM7
CAMK2B	Q13554
CAMK2D	Q13557
CAMK2G	Q13555
CAP2	P40123
CAPS	Q13938
CASKIN2	Q8WXE0
CASP4	P49662
CAST	P20810
CAV3	P56539
CAVIN1	Q6NZI2
CAVIN2	O95810
CAVIN3	Q969G5
CAVIN4	Q5BKX8
CBY2	Q8NA61
CC2D1A	Q6P1N0
CCBE1	Q6UXH8
CCDC107	Q8WV48
CCDC112	Q8NEF3
CCDC115	Q96NT0
CCDC124	Q96CT7
CCDC136	Q96JN2
CCDC15	Q0P6D6
CCDC154	A6NI56
CCDC24	Q8N4L8
CCDC28A	
CCDC59	Q9P031
CCDC62	Q6P9F0
CCDC69	A6NI79
CCDC8	Q9H0W5
CCDC93	Q567U6
CCDC97	Q96F63
CCKAR	P32238
CCKBR	P32239
CCN5	O76076
CCNT2	O60583
CCNYL1	Q8N7R7
CCR2	P41597
CCR3	P51677
CCR4	P51679
CCR9	P51686
CCT3	P49368
CD109	Q6YHK3
CD163	Q86VB7
CD164L2	Q6UWJ8
CD180	Q99467
CD2	P06729
CD200R1	Q8TD46
CD226	Q15762
CD248	Q9HCU0
CD274	Q9NZQ7
CD2AP	Q9Y5K6
CD300A	Q9UGN4
CD300LB	A8K4G0
CD33	P20138
CD34	P28906
CD37	P11049
CD38	P28907
CD3E	P07766
CD3G	P09693
CD4	P01730
CD40LG	P29965
CD44	P16070
CD46	P15529
CD47	Q08722
CD48	P09326
CD79B	P40259
CD81	P60033
CD83	Q01151
CD84	Q9UIB8
CD86	P42081
CD8A	P01732
CD8B	P10966
CD9	P21926
CD93	Q9NPY3
CD99L2	Q8TCZ2
CDAN1	Q8IWY9
CDC42BPA	Q5VT25
CDC42EP1	Q00587
CDC42EP3	Q9UKI2
CDC42EP4	Q9H3Q1
CDCA4	Q9BXL8
CDH1	P12830
CDH13	P55290
CDH15	P55291
CDH2	P19022
CDH26	Q8IXH8
CDH3	P22223
CDH4	P55283
CDH5	P33151
CDH6	P55285
CDH8	P55286
CDIPT	O14735
CDK16	Q00536
CDK5	Q00535
CDK7	P50613
CDRT15	Q96T59
CDV3	Q9UKY7
CEACAM5	P06731
CEACAM7	Q14002
CEBPE	Q15744
CELSR1	Q9NYQ6
CEMIP2	Q9UHN6
CEP295	Q9C0D2
CEP55	Q53EZ4
CEP57L1	Q8IYX8
CEP63	Q96MT8
CFAP141	Q5VU69
CFAP157	Q5JU67
CFAP251	Q8TBY9
CFAP299	Q6V702
CFAP418	Q96NL8
CFAP58	Q5T655
CFAP65	Q6ZU64
CFAP97D1	B2RV13
CFL1	P23528
CFL2	Q9Y281
CFLAR	O15519
CGN	Q9P2M7
CHIC2	Q9UKJ5
CHMP2A	O43633
CHRM3	P20309
CHRNA1	P02708
CHRNA2	Q15822
CHRNA3	P32297
CHRNA5	P30532
CHRND	Q07001
CIAO3	Q9H6Q4
CIB1	Q99828
CIB3	Q96Q77
CIP2A	Q8TCG1
CKAP5	Q14008
CLCA2	Q9UQC9
CLCA4	Q14CN2
CLCN5	P51795
CLCN6	P51797
CLDN19	Q8N6F1
CLDN20	P56880
CLDN23	Q96B33
CLDN4	O14493
CLEC2A	Q6UVW9
CLEC4F	Q8N1N0
CLEC5A	Q9NY25
CLIC2	O15247
CLIC4	Q9Y696
CLIC5	Q9NZA1
CLTB	P09497
CLUL1	Q15846
CLXN	Q9HAE3
CMKLR2	P46091
CMTM4	Q8IZR5
CMTM7	Q96FZ5
CMYA5	Q8N3K9
CNGA1	P29973
CNGA4	Q8IV77
CNGB1	Q14028
CNKSR2	Q8WXI2
CNNM1	Q9NRU3
CNNM4	Q6P4Q7
CNP	P09543
CNR1	P21554
COBL	O75128
COG3	Q96JB2
COL17A1	Q9UMD9
COL4A5	P29400
COL5A3	P25940
COL6A2	P12110
COLQ	Q9Y215
COMMD4	Q9H0A8
COMTD1	Q86VU5
COPRS	Q9NQ92
COQ7	Q99807
CORIN	Q9Y5Q5
CORO1B	Q9BR76
CORO2A	Q92828
CORO2B	Q9UQ03
COX6B2	Q6YFQ2
CPA4	Q9UI42
CPEB3	Q8NE35
CPNE9	Q8IYJ1
CPPED1	Q9BRF8
CPZ	Q66K79
CRCP	O75575
CREB5	Q02930
CRHR2	Q13324
CRIP1	P50238
CRIP2	P52943
CRK	P46108
CRLF2	Q9HC73
CRLF3	Q8IUI8
CROCC	Q5TZA2
CRTC1	Q6UUV9
CRYAB	P02511
CRYBG3	Q68DQ2
CRYL1	Q9Y2S2
CSAD	Q9Y600
CSDE1	O75534
CSF1	P09603
CSF1R	P07333
CSMD3	Q7Z407
CSPG4	Q6UVK1
CST6	Q15828
CTNNA1	P35221
CTNNB1	P35222
CTNND1	O60716
CTSF	Q9UBX1
CTSV	O60911
CTTN	Q14247
CTXN1	P60606
CUEDC1	Q9NWM3
CUTA	O60888
CWH43	Q9H720
CX3CL1	P78423
CX3CR1	P49238
CXADR	P78310
CXCR2	P25025
CYB5D2	Q8WUJ1
CYBC1	Q9BQA9
CYBRD1	Q53TN4
CYFIP2	Q96F07
CYP20A1	Q6UW02
CYP2C18	P33260
CYP2C8	P10632
CYP2C9	P11712
CYTH2	Q99418
CYTH4	Q9UIA0
DAAM1	Q9Y4D1
DAB2	P98082
DAG1	Q14118
DAGLB	Q8NCG7
DAW1	Q8N136
DBN1	Q16643
DBNL	Q9UJU6
DCAF16	Q9NXF7
DCBLD2	Q96PD2
DCHS1	Q96JQ0
DCHS2	Q6V1P9
DCT	P40126
DCTN6	O00399
DCUN1D2	Q6PH85
DDAH1	O94760
DDIAS	Q8IXT1
DDIT4L	Q96D03
DDR2	Q16832
DDX4	Q9NQI0
DDX60L	Q5H9U9
DENND6B	Q8NEG7
DFFA	O00273
DGKG	P49619
DGKH	Q86XP1
DHDDS	Q86SQ9
DHRS7B	Q6IAN0
DIAPH1	O60610
DIAPH3	Q9NSV4
DIO2	Q92813
DIRAS1	O95057
DIS3L	Q8TF46
DLG1	Q12959
DLG2	Q15700
DLGAP3	O95886
DLL1	O00548
DLL3	Q9NYJ7
DMWD	Q09019
DNAAF1	Q8NEP3
DNAAF4	Q8WXU2
DNAH17	Q9UFH2
DNAH6	Q9C0G6
DNAJA4	Q8WW22
DNAJB13	P59910
DNAJB4	Q9UDY4
DNAJC5	Q9H3Z4
DNAJC6	O75061
DNAJC9	Q8WXX5
DOCK4	Q8N1I0
DOCK8	Q8NF50
DOK3	Q7L591
DPYSL2	Q16555
DRD1	P21728
DRD4	P21917
DRP2	Q13474
DSC2	Q02487
DSC3	Q14574
DSEL	Q8IZU8
DSTN	P60981
DUS1L	Q6P1R4
DUSP15	Q9H1R2
DXO	O77932
DYNC2I1	Q8WVS4
DYSF	O75923
ECSCR	Q19T08
EDIL3	O43854
EDNRA	P25101
EDNRB	P24530
EEF1AKMT1	Q8WVE0
EEF2	P13639
EFCAB2	Q5VUJ9
EFHC2	Q5JST6
EFNB1	P98172
EFR3A	Q14156
EFR3B	Q9Y2G0
EGFR	P00533
EHBP1	Q8NDI1
EHBP1L1	Q8N3D4
EHD1	Q9H4M9
EHD2	Q9NZN4
EHD3	Q9NZN3
EHD4	Q9H223
EIF2B2	P49770
EIF5A	P63241
EIF5AL1	Q6IS14
EIF5B	O60841
ELAPOR1	Q6UXG2
ELMO3	Q96BJ8
ELN	P15502
EMP3	P54852
ENAH	Q8N8S7
ENC1	O14682
ENG	P17813
ENKD1	Q9H0I2
ENO1	P06733
ENO2	P09104
ENO3	P13929
ENOX1	Q8TC92
ENOX2	Q16206
ENSG00000241690	
ENSG00000249967	
ENSG00000250424	
ENSG00000251537	
ENSG00000256500	
ENSG00000258472	
ENSG00000264668	
ENSG00000265118	
ENSG00000268465	
ENSG00000285130	
ENSG00000285526	
ENSG00000285947	
ENSG00000288520	G9CGD6
ENSG00000288684	
ENSG00000290147	P43080
EPB41	P11171
EPB41L1	Q9H4G0
EPB41L2	O43491
EPB41L3	Q9Y2J2
EPB41L4A	Q9HCS5
EPB41L4B	Q9H329
EPB41L5	Q9HCM4
EPCAM	P16422
EPHA2	P29317
EPHA3	P29320
EPHB1	P54762
EPHB2	P29323
EPN1	Q9Y6I3
EPOR	P19235
EPS8	Q12929
EQTN	Q9NQ60
ERAP1	Q9NZ08
ERBB2	P04626
ERBB3	P21860
ERBIN	Q96RT1
ERC1	Q8IUD2
ERCC4	Q92889
ERMN	Q8TAM6
ERVFRD-1	P60508
ESYT2	A0FGR8
ETNK1	Q9HBU6
ETS2	P15036
EVA1A	Q9H8M9
EVA1B	Q9NVM1
EVI2A	P22794
EVI2B	P34910
EXOC1	Q9NV70
EXOC3L1	Q86VI1
EXOC7	Q9UPT5
EZR	P15311
F2RL1	P55085
F2RL3	Q96RI0
FABP2	P12104
FABP3	P05413
FABP5	Q01469
FADS2	O95864
FAIM	Q9NVQ4
FAM161B	Q96MY7
FAM163B	P0C2L3
FAM171A1	Q5VUB5
FAM186A	A6NE01
FAM193A	P78312
FAM205A	Q6ZU69
FAM209A	Q5JX71
FAM210B	Q96KR6
FAM47E	Q6ZV65
FAM47E-STBD1	
FAM53A	Q6NSI3
FAM72A	Q5TYM5
FAM72B	Q86X60
FAM72C	H0Y354
FAM72D	Q6L9T8
FANCG	O15287
FAS	P25445
FASN	P49327
FBLN2	P98095
FBLN5	Q9UBX5
FBLN7	Q53RD9
FBN1	P35555
FBP2	O00757
FBRSL1	Q9HCM7
FBXL2	Q9UKC9
FBXO16	Q8IX29
FBXO38	Q6PIJ6
FBXO41	Q8TF61
FBXW11	Q9UKB1
FCAR	P24071
FCGBP	
FCGR1A	P12314
FCGR2A	P12318
FCGR2C	
FCHSD2	O94868
FCMR	O60667
FFAR1	O14842
FFAR4	Q5NUL3
FGD1	P98174
FGD5	Q6ZNL6
FGR	P09769
FHIT	P49789
FHL1	Q13642
FILIP1	Q7Z7B0
FILIP1L	Q4L180
FKBP2	P26885
FLACC1	Q96Q35
FLAD1	Q8NFF5
FLCN	Q8NFG4
FLNA	P21333
FLNB	O75369
FLNC	Q14315
FLOT1	O75955
FLOT2	Q14254
FLRT3	Q9NZU0
FLT1	P17948
FLT4	P35916
FMN2	Q9NZ56
FMNL2	Q96PY5
FMNL3	Q8IVF7
FNBP1	Q96RU3
FOXN3	O00409
FRMD3	A2A2Y4
FRMD7	Q6ZUT3
FRMD8	Q9BZ67
FRS2	Q8WU20
FSCN1	Q16658
FSD1L	Q9BXM9
FTCD	O95954
FTO	Q9C0B1
FUT2	Q10981
FXYD3	Q14802
FYB1	O15117
FYN	P06241
FZD1	Q9UP38
FZD4	Q9ULV1
FZD6	O60353
GAB1	Q13480
GAB2	Q9UQC2
GABRA1	P14867
GABRA2	P47869
GABRA3	P34903
GABRA5	P31644
GABRG1	Q8N1C3
GABRG3	Q99928
GAD1	Q99259
GADL1	Q6ZQY3
GAGE1	P0DTW1
GAGE10	A6NGK3
GAGE12C	A1L429
GAGE12D	A1L429
GAGE12E	A1L429
GAGE12F	"P0CL80, O76087, P0CL82"
GAGE12G	"P0CL81, O76087, P0CL82"
GAGE12H	A6NDE8
GAGE12J	A6NER3
GAGE13	Q4V321
GAGE2A	Q6NT46
GAGE2E	Q4V326
GALNT10	Q86SR1
GALNT12	Q8IXK2
GALR1	P47211
GAP43	P17677
GAPDH	P04406
GAPT	Q8N292
GAPVD1	Q14C86
GAS2	O43903
GAS2L1	Q99501
GAS7	O60861
GAS8	O95995
GBP4	Q96PP9
GCA	P28676
GCC1	Q96CN9
GCLM	P48507
GDE1	Q9NZC3
GDI1	P31150
GDI2	P50395
GFI1B	Q5VTD9
GFOD1	Q9NXC2
GFRA2	O00451
GFRA3	O60609
GFRAL	Q6UXV0
GGTA1	Q4G0N0
GHR	P10912
GINM1	Q9NU53
GIPC1	O14908
GJB7	Q6PEY0
GJC1	P36383
GJC2	Q5T442
GLDN	Q6ZMI3
GLO1	Q04760
GLP2R	O95838
GLRA1	P23415
GLRA2	P23416
GLRA3	O75311
GLRX	P35754
GLUL	P15104
GMIP	Q9P107
GNAI2	P04899
GNAQ	P50148
GNAS	"O95467, P63092, Q5JWF2"
GNB1	P62873
GNB2	P62879
GNB3	P16520
GNB4	Q9HAV0
GNG2	P59768
GP6	Q9HCN6
GP9	P14770
GPATCH1	Q9BRR8
GPBP1	Q86WP2
GPBP1L1	Q9HC44
GPC1	P35052
GPC3	P51654
GPC4	O75487
GPI	P06744
GPR142	Q7Z601
GPR148	Q8TDV2
GPR156	Q8NFN8
GPR157	Q5UAW9
GPR160	Q9UJ42
GPR173	Q9NS66
GPR174	Q9BXC1
GPR20	Q99678
GPR27	Q9NS67
GPR37L1	O60883
GPR50	Q13585
GPR63	Q9BZJ6
GPRC5A	Q8NFJ5
GPRIN1	Q7Z2K8
GPRIN2	O60269
GPX8	Q8TED1
GRAMD1A	Q96CP6
GRAMD1B	Q3KR37
GRAMD1C	Q8IYS0
GRAP2	O75791
GRB7	Q14451
GRID2IP	A4D2P6
GRIK1	P39086
GRIK5	Q16478
GRK3	P35626
GRK4	P32298
GRK5	P34947
GRPR	P30550
GSDMA	Q96QA5
GTSE1	Q9NYZ3
GUCA1A	P43080
GUK1	Q16774
GYPA	P02724
GYPC	P04921
HAPLN3	Q96S86
HARBI1	Q96MB7
HAS1	Q92839
HAUS7	Q99871
HCFC2	Q9Y5Z7
HCK	P08631
HCLS1	P14317
HCST	Q9UBK5
HEG1	Q9ULI3
HELZ	P42694
HENMT1	Q5T8I9
HERC2	O95714
HERPUD1	Q15011
HFE	Q30201
HIF3A	Q9Y2N7
HINT1	P49773
HIP1R	O75146
HLA-A	P04439
HLA-E	P13747
HMGCS1	Q01581
HMOX1	P09601
HOMER3	Q9NSC5
HPS3	Q969F9
HRH1	P35367
HS6ST2	Q96MM7
HS6ST3	Q8IZP7
HSFX1	Q9UBD0
HSFX2	Q9UBD0
HSH2D	Q96JZ2
HSPB1	P04792
HSPG2	P98160
HTR1B	P28222
HTR7	P34969
HTRA1	Q92743
HUNK	P57058
HYCC1	Q9BYI3
HYDIN	Q4G0P3
HYI	Q5T013
HYLS1	Q96M11
ICAM1	P05362
ICAM2	P13598
ICOS	Q9Y6W8
ICOSLG	O75144
IFFO2	Q5TF58
IFIT5	Q13325
IFITM1	P13164
IFITM5	A6NNB3
IFNGR1	P15260
IFRD1	O00458
IGFL2	Q6UWQ7
IGFLR1	Q9H665
IGKV3-11	P04433
IGKV3-15	P01624
IGKV3-20	P01619
IGKV3-7	A0A075B6H7
IGKV3D-11	A0A0A0MRZ8
IGKV3D-15	A0A087WSY6
IGKV3D-20	A0A0C4DH25
IGKV3D-7	A0A0C4DH55
IGKV3OR2-268	
IKZF5	Q9H5V7
IL10RA	Q13651
IL11RA	Q14626
IL12RB1	P42701
IL12RB2	Q99665
IL13RA2	Q14627
IL15RA	Q13261
IL16	Q14005
IL17RB	Q9NRM6
IL1R1	P14778
IL1RL1	Q01638
IL21R	Q9HBE5
IL2RG	P31785
IL31RA	Q8NI17
IL36G	Q9NZH8
IL4R	P24394
IL6ST	P40189
IL7R	P16871
ILDR2	Q71H61
INPP5A	Q14642
INSR	P06213
INTS12	Q96CB8
INVS	Q9Y283
IPCEF1	Q8WWN9
IQGAP1	P46940
IQGAP2	Q13576
IRAG2	Q12912
IRS1	P35568
ISLR	O14498
ITGA2B	P08514
ITGA3	P26006
ITGA4	P13612
ITGA7	Q13683
ITGA8	P53708
ITGA9	Q13797
ITGAX	P20702
ITGB1	P05556
ITGB2	P05107
ITGB3	P05106
ITGB4	P16144
ITGB5	P18084
ITGB7	P26010
ITGB8	P26012
ITM2A	O43736
ITPKA	P23677
ITPRID2	P28290
ITSN1	Q15811
ITSN2	Q9NZM3
IYD	Q6PHW0
JAG1	P78504
JAK2	O60674
JAK3	P52333
JAM2	P57087
JAML	Q86YT9
JMJD4	Q9H9V9
JPT2	Q9H910
JUP	P14923
KANK1	Q14678
KANK3	Q6NY19
KANSL2	Q9H9L4
KARS1	Q15046
KATNB1	Q9BVA0
KATNIP	O60303
KCNA6	P17658
KCNA7	Q96RP8
KCNAB1	Q14722
KCNB2	Q92953
KCNE3	Q9Y6H6
KCNG4	Q8TDN1
KCNH8	Q96L42
KCNJ15	Q99712
KCNJ3	P48549
KCNK17	Q96T54
KCNK6	Q9Y257
KCNK7	Q9Y2U2
KCNK9	Q9NPC2
KCNN2	Q9H2S1
KCNN3	Q9UGI6
KCNN4	O15554
KCNQ1	P51787
KCNS3	Q9BQ31
KCNU1	A8MYU2
KCNV1	Q6PIU1
KDF1	Q8NAX2
KEL	P23276
KIAA1328	Q86T90
KIAA1522	Q9P206
KIAA1958	Q8N8K9
KIF12	
KIF17	Q9P2E2
KIF19	Q2TAC6
KIF21B	O75037
KIF26A	Q9ULI4
KIF26B	Q2KJY2
KIF3B	O15066
KISS1R	Q969F8
KIT	P10721
KLC1	Q07866
KLC2	Q9H0B6
KLF9	Q13886
KLHDC7B	Q96G42
KLHL41	O60662
KLHL6	Q8WZ60
KLHL7	Q8IXQ5
KLK7	P49862
KLRC1	P26715
KLRC2	P26717
KLRF1	Q9NZS2
KLRK1	P26718
KMT2D	O14686
KNDC1	Q76NI1
KNSTRN	Q9Y448
KNTC1	P50748
KPTN	Q9Y664
KRBOX5	Q7Z2F6
KRT75	O95678
KRT77	Q7Z794
KRTAP25-1	Q3LHN0
L1CAM	P32004
LAIR1	Q6GTX8
LAMA4	Q16363
LAMC1	P11047
LAMTOR1	Q6IAA8
LAPTM4A	Q15012
LASP1	Q14847
LAT	O43561
LAT2	Q9GZY6
LAX1	Q8IWV1
LCA5L	O95447
LCP1	P13796
LCTL	Q6UWM7
LDB2	O43679
LEMD1	Q68G75
LENG1	Q96BZ8
LEP	P41159
LGALS3	P17931
LGALS4	P56470
LGALS8	O00214
LGR6	Q9HBX8
LHCGR	P22888
LHFPL2	Q6ZUX7
LHX6	Q9UPM6
LILRA6	Q6PI73
LILRB3	O75022
LIMA1	Q9UHB6
LINGO1	Q96FE5
LIPI	Q6XZB0
LIPJ	Q5W064
LMCD1	Q9NZU5
LMOD2	Q6P5Q4
LMTK2	Q8IWU2
LNX2	Q8N448
LONRF1	Q17RB8
LONRF3	Q496Y0
LOXHD1	Q8IVV2
LPAR3	Q9UBY5
LPAR4	Q99677
LPIN1	Q14693
LPIN2	Q92539
LRCH2	Q5VUJ6
LRFN2	Q9ULH4
LRP11	Q86VZ4
LRP12	Q9Y561
LRRC15	Q8TF66
LRRC26	Q2I0M4
LRRC45	Q96CN5
LRRC69	Q6ZNQ3
LRRC7	
LRRC9	Q6ZRR7
LRRFIP2	Q9Y608
LRRIQ3	A6PVS8
LSMEM2	Q8N112
LSR	Q86X29
LST1	O00453
LTB4R2	Q9NPC1
LUZP2	Q86TE4
LY6K	Q17RY6
LY9	Q9HBG7
LYN	P07948
LYPD1	Q8N2G4
LYST	Q99698
LZTS1	Q9Y250
LZTS2	Q9BRK4
MACF1	Q9UPN3
MADD	Q8WXG6
MAMDC2	Q7Z304
MAP2	P11137
MAP2K1	Q02750
MAP2K7	O14733
MAP3K12	Q12852
MAP3K21	Q5TCX8
MAP3K6	O95382
MAP3K7	O43318
MAP4	P27816
MAP4K1	Q92918
MAP4K5	Q9Y4K4
MAP6	Q96JE9
MAPK8IP1	Q9UQF2
MAPK9	P45984
MAPT	P10636
MARCHF10	Q8NA82
MARCHF7	Q9H992
MARCKS	P29966
MARK2	Q7KZI7
MAS1L	P35410
MAT2B	Q9NZL9
MATCAP2	Q8NCT3
MBP	P02686
MC5R	P33032
MCAM	P43121
MCEMP1	Q8IX19
MCF2	P10911
MCTS1	Q9ULC4
MCTS2	A0A3B3IRV3
MDGA1	Q8NFP4
ME1	P48163
MEGF10	Q96KG7
MERTK	Q12866
MET	P08581
METAP1	P53582
METAP2	P50579
METTL25	Q8N6Q8
MFSD1	Q9H3U5
MFSD2A	Q8NA29
MGAT4C	Q9UBM8
MIB1	Q86YT6
MICAL2	O94851
MICAL3	Q7RTP6
MICB	Q29980
MIEN1	Q9BRT3
MISP	Q8IVT2
MKLN1	Q9UL63
MKRN3	Q13064
MLF2	Q15773
MLIP	Q5VWP3
MLKL	Q8NB16
MLNR	O43193
MMACHC	Q9Y4U1
MMP10	P09238
MMP15	P51511
MMP24	Q9Y5R2
MMP25	Q9NPA2
MPHOSPH8	Q99549
MPHOSPH9	Q99550
MPI	P34949
MPIG6B	O95866
MPL	P40238
MPP1	Q00013
MPZL1	O95297
MR1	Q95460
MRGPRF	Q96AM1
MRNIP	Q6NTE8
MRPL42	Q9Y6G3
MRPL44	Q9H9J2
MRPL58	Q14197
MS4A1	P11836
MS4A12	Q9NXJ0
MS4A14	Q96JA4
MS4A15	Q8N5U1
MSLN	Q13421
MSN	P26038
MSRA	Q9UJ68
MTCP1	P56278
MTM1	Q13496
MTPN	P58546
MTSS1	O43312
MUC1	P15941
MUC20	Q8N307
MYH11	P35749
MYH9	P35579
MYL4	P12829
MYLK	Q15746
MYO10	Q9HD67
MYO1B	O43795
MYO1C	O00159
MYO1E	Q12965
MYO1G	B0I1T2
MYO3A	Q8NEV4
MYO5B	Q9ULV0
MYO9A	B2RTY4
MYOF	Q9NZM1
N4BP2	Q86UW6
NAA35	Q5VZE5
NAB1	Q13506
NAIF1	Q69YI7
NAP1L2	Q9ULW6
