,neg-neg
0,0.21841383303184042
1,0.0655642529295092
2,0.15174142393305565
3,0.10732923894470682
4,0.0364153733048888
5,0.10446551350651045
6,0.13934184400752342
7,0.13510038746649014
8,0.0614310596209984
9,0.12534800651410927
10,0.1864012279690237
11,0.1128401633560545
12,0.10181831453335913
13,0.09757685799232588
14,0.1267257376169462
15,0.15449688613872956
16,0.09619912688948894
17,0.23081341295737265
18,0.1434750373160342
19,0.053056409771454364
20,0.1059515078418699
21,0.08644674593710801
22,0.11008470115038066
23,0.053056409771454344
24,0.29473035985048346
25,0.08358302049891164
26,0.1670047292967844
27,0.04065682984592209
28,0.026771255585030407
29,0.1363698553368046
30,0.09757685799232586
31,0.08782447703994492
32,0.18777895907186062
33,0.1281034687197831
34,0.11697335666456522
35,0.0614310596209984
36,0.047545485360106686
37,0.08644674593710801
38,0.16414100385858804
39,0.08644674593710801
40,0.12259254430843544
41,0.12948119982261994
42,0.1128401633560545
43,0.11835108776740216
44,0.11972881887023909
45,0.10022405696547719
46,0.1517414239330557
47,0.0877162138074224
48,0.0795580904229234
49,0.04616775425726975
50,0.09757685799232588
51,0.1142178944588914
52,0.1406113118778378
53,0.10446551350651045
54,0.12259254430843544
55,0.0920659335809782
56,0.10308778240367354
57,0.0808275582932378
58,0.1363698553368046
59,0.07542489711441266
60,0.1184593509999247
61,0.19604534568888216
62,0.13510038746649014
63,0.1864012279690237
64,0.1531191550358926
65,0.14198904298067475
66,0.22116929523751427
67,0.05030094756578052
68,0.13223666202829382
69,0.15311915503589263
70,0.09195767034845566
71,0.1795125724548391
72,0.07266943490873878
73,0.0670502472648686
74,0.11284016335605451
75,0.0725611716762163
76,0.0809358215257603
77,0.24056579390975363
78,0.1073292389447068
79,0.08644674593710801
80,0.1267257376169462
81,0.10870697004754372
82,0.18089030355767602
83,0.10171005130083663
84,0.11273190012353197
85,0.1961536089214047
86,0.13372265636365324
87,0.09057993924561876
88,0.11432615769141394
89,0.1573606115769259
90,0.11835108776740216
91,0.24067405714227613
92,0.12534800651410927
93,0.08782447703994492
94,0.14061131187783787
95,0.05729786631248763
96,0.033659911099215
97,0.10446551350651047
98,0.09057993924561876
99,0.0614310596209984
100,0.11983708210276162
101,0.09757685799232588
102,0.08782447703994492
103,0.07107517734085686
104,0.07669436498472702
105,0.07129170380590191
106,0.14474450518634863
107,0.17113792260529515
108,0.06280879072383531
109,0.2460767183211013
110,0.15587461724156648
