,neg-neg
0,0.08322148957746481
1,0.2491960247887324
2,0.18192932056338032
3,0.1602378276056338
4,0.11904706704225354
5,0.03972312338028172
6,0.11673946140845072
7,0.14610374309859156
8,0.11027816563380283
9,0.1298928135211268
10,0.15158430647887328
11,0.1212392923943662
12,0.18083320788732396
13,0.1277005881690141
14,0.06579906704225354
15,0.16681450366197184
16,0.12550836281690142
17,0.044107574084507085
18,0.07774092619718312
19,0.14500763042253526
20,0.1319696585915493
21,0.137450221971831
22,0.14500763042253523
23,0.1091820529577465
24,0.11039354591549298
25,0.2025247008450704
26,0.1082013205633803
27,0.11904706704225357
28,0.06689517971830988
29,0.1471998557746479
30,0.13306577126760563
31,0.17327579943661972
32,0.13318115154929577
33,0.11137427830985916
34,0.1406231797183099
35,0.06360684169014086
36,0.1331811515492958
37,0.11673946140845072
38,0.15804560225352113
39,0.08639444732394368
40,0.1471998557746479
41,0.17108357408450706
42,0.21556267267605636
43,0.14939208112676058
44,0.12222002478873238
45,0.1624300529577465
46,0.1244122501408451
47,0.08212537690140848
48,0.12222002478873241
49,0.054953320563380315
50,0.08858667267605634
51,0.1591417149295775
52,0.20362081352112682
53,0.07445258816901411
54,0.08102926422535214
55,0.13952706704225354
56,0.11027816563380283
57,0.12331613746478874
58,0.0679912923943662
59,0.15048819380281694
60,0.12441225014084507
61,0.06799129239436622
62,0.08322148957746481
63,0.13843095436619718
64,0.06470295436619719
65,0.07445258816901408
66,0.12977743323943663
67,0.1277005881690141
68,0.11258577126760566
69,0.20362081352112674
70,0.08639444732394366
71,0.07774092619718312
72,0.08870205295774647
73,0.21885101070422536
74,0.13854633464788735
75,0.1212392923943662
76,0.07335647549295778
77,0.12441225014084507
78,0.07127963042253523
79,0.11564334873239436
80,0.09504796845070425
81,0.06360684169014087
82,0.16023782760563382
83,0.07116425014084508
84,0.09614408112676057
85,0.14073856
86,0.12550836281690142
87,0.16121856
88,0.08212537690140845
89,0.137450221971831
90,0.0896827853521127
91,0.14171929239436618
92,0.15256503887323944
93,0.1646222783098592
94,0.05604943323943665
95,0.16341078535211268
96,0.12550836281690142
97,0.16681450366197187
98,0.1787563628169014
99,0.08858667267605637
100,0.12222002478873238
101,0.1569494895774648
102,0.1666991233802817
103,0.18839061633802817
104,0.09406723605633804
105,0.07226036281690142
106,0.1916789543661972
107,0.07883703887323945
108,0.11027816563380284
109,0.14073855999999998
110,0.0865098276056338
111,0.1069898276056338
112,0.12331613746478874
113,0.12331613746478874
114,0.24492695436619727
115,0.11575872901408452
116,0.11137427830985917
117,0.056049433239436654
118,0.11125889802816902
119,0.08420222197183098
120,0.1852176585915493
121,0.084202221971831
122,0.08870205295774647
123,0.0756640811267606
124,0.0734718557746479
125,0.09943241915492956
126,0.11027816563380283
127,0.09833630647887324
128,0.17864098253521135
129,0.14281540507042256
130,0.16583377126760565
131,0.08102926422535214
132,0.1027207571830986
133,0.12989281352112678
134,0.08322148957746478
135,0.09833630647887326
136,0.10479760225352112
137,0.10052853183098594
138,0.09077889802816903
139,0.15914171492957746
140,0.17108357408450703
141,0.07456796845070425
142,0.08749056000000001
143,0.12671985577464787
144,0.10698982760563382
145,0.08749056000000001
146,0.09833630647887323
147,0.16560301070422534
148,0.17437191211267603
149,0.046184419154929594
150,0.16352616563380282
151,0.26113788394366205
152,0.09285574309859156
153,0.0679912923943662
154,0.11893168676056338
155,0.1624300529577465
156,0.12441225014084507
157,0.19825563042253525
158,0.17766025014084505
159,0.14719985577464795
160,0.09285574309859154
161,0.0516649825352113
162,0.0419153487323944
163,0.09516334873239438
164,0.12222002478873241
165,0.09845168676056339
166,0.1602378276056338
167,0.14391151774647892
168,0.0744525881690141
169,0.11783557408450705
170,0.09735557408450703
171,0.12758520788732394
172,0.14829596845070422
173,0.1091820529577465
174,0.1124703909859155
175,0.10272075718309863
176,0.16023782760563382
177,0.06799129239436619
178,0.15816098253521127
179,0.07554870084507044
180,0.14500763042253523
181,0.2014285881690141
182,0.1624300529577465
183,0.0657990670422535
184,0.10589371492957746
185,0.18521765859154932
186,0.08541371492957749
187,0.08858667267605634
188,0.09943241915492958
189,0.10272075718309859
190,0.07445258816901408
191,0.18412154591549296
192,0.09187501070422537
193,0.16023782760563382
194,0.11893168676056336
195,0.06251072901408451
196,0.11247039098591552
197,0.12879670084507042
198,0.17754486985915496
199,0.10162464450704224
200,0.09504796845070423
201,0.12331613746478874
202,0.08310610929577462
203,0.07883703887323947
204,0.1124703909859155
205,0.09175963042253522
206,0.11673946140845072
207,0.08529833464788736
208,0.17656413746478872
209,0.1537765318309859
210,0.16779523605633803
211,0.13306577126760566
212,0.15694948957746482
213,0.07335647549295776
214,0.13416188394366196
215,0.07664481352112677
216,0.0972401938028169
217,0.1666991233802817
218,0.11466261633802821
219,0.1820447008450704
220,0.0962594614084507
221,0.08310610929577465
