hgnc_symbol,uniprotswissprot
POSTN,Q15063
CELF4,""
CRYZL1,O95825
CRYZL1,""
FNDC3A,Q9Y2H6
FNDC3A,""
CELF4,Q9BZC1
N6AMT1,Q9Y5N5
LHFPL6,Q9Y693
AKAP11,Q9UKA4
ADAMTS5,Q9UNA0
ADAMTS5,""
MZT1,Q08AG7
AKAIN1,""
AKAIN1,P0CW23
SLC14A2,Q15849
C2CD2,""
PROSER1,Q86XN7
SLC14A2,""
PROSER1,""
ERICH6B,Q5W0A0
C2CD2,Q9Y426
RALBP1,Q15311
RALBP1,""
ZBTB21,Q9ULJ3
ZBTB21,""
PIBF1,Q8WXW3
PIBF1,""
CBR1,P16152
CBR1,""
BORA,Q6PGQ7
BORA,""
CBR3,O75828
EVA1C,""
KLHL1,Q9NR64
KLHL1,""
EVA1C,P58658
SS18,Q15532
SS18,""
CFAP298,""
SCEL,""
CFAP298,P57076
CFAP298-TCP10L,""
ANKRD12,""
SCEL,O95171
TCP10L,""
ANKRD12,Q6UB98
TCP10L,Q8TDR4
ARK2N,""
FREM2,Q5SZK8
PRR20B,P86481
BTG3,Q14201
ARK2N,Q96B23
BTG3,""
SUMO3,""
TBC1D4,""
SUMO3,P55854
SKA1,Q96BD8
TBC1D4,O60343
SKA1,""
PRR20D,P86480
SPRY2,O43597
RPRD1A,""
SAMSN1,Q9NSI8
PRR20E,P86478
SAMSN1,""
UFM1,P61960
RPRD1A,Q96P16
UFM1,""
OR9G1,""
OR9G9,""
OR9G4,Q8NGQ1
OR5G3,""
KLF5,Q13887
RIT2,Q99578
RIT2,""
SIM2,Q14190
CTAGE1,Q9HC47
SIM2,""
CTAGE1,Q96RT6
CBY2,Q8NA61
CBY2,""
RIPPLY3,P57055
UBAC2,""
HRH4,Q9H3N8
UBAC2,Q8NBM4
MAPK4,P31152
RRP1B,Q14684
MAPK4,""
PDXK,""
ARK2C,""
RFC3,P40938
RFC3,""
ARK2C,Q6ZSG1
POU4F1,Q01851
PDXK,O00764
ST8SIA3,O43173
ST8SIA3,""
RNF152,Q8N8N0
RNF152,""
CCDC68,Q9H2F9
CCDC68,""
SPATA13,Q96N96
RRP1,""
SPATA13,""
NHLRC3,""
RRP1,P56182
NHLRC3,Q5JS37
MED15,""
OLFM4,Q6UX06
SMAD2,Q15796
GRK1,Q15835
PRR20A,P86496
SMAD2,""
RAB27B,""
RAB27B,O00194
AGPAT3,Q9NRZ7
AGPAT3,""
IPO5,""
TXNL1,O43396
TXNL1,""
TOLLIP,Q9H0E2
TOLLIP,""
BRSK2,Q8IWQ3
IPO5,O00410
BRSK2,""
MED15,Q96RN5
CTIF,O43310
CTIF,""
DUSP8,Q13202
TRAPPC10,P48553
KRTAP5-1,Q6L8H4
KRTAP5-2,Q701N4
KRTAP5-3,Q6L8H2
GAREM1,""
KRTAP5-4,""
KRTAP5-5,Q701N2
MOB2,Q70IA6
TRAPPC10,""
GAREM1,Q9H706
PWP2,""
OSM,P13725
OSM,""
ZBTB7C,A1YPR0
PWP2,Q15269
NCF4,""
NCF4,Q15080
ZBTB7C,""
BOD1L2,Q8IYS8
FBXO15,""
FBXO15,Q8NCQ5
DIAPH3,Q9NSV4
DYRK1A,""
DYRK1A,Q13627
PCDH17,O14917
PCDH17,""
SERTM1,A2A2V5
CDH7,Q9ULB5
CDH7,""
TPGS2,""
SLC7A1,P30825
SLC7A1,""
CACNA1I,Q9P0X4
SERTAD4,Q9NUC0
ISX,Q2M1V0
ENTHD1,Q8IYW4
LIF,P15018
TPGS2,Q68CL5
HHAT,Q5VTY9
SLC15A1,P46059
CBX7,O95931
CBX7,""
FOXO1,Q12778
HHAT,""
MC4R,P32245
PNPLA3,Q9NST1
PNPLA3,""
COG3,Q96JB2
ADRA1D,P25100
COG3,""
TMX3,Q96JJ7
RSPO4,Q2I0M5
TMX3,""
DEFB129,Q9H1M3
PRDM15,""
ANGPT4,Q9Y264
PRDM15,P57071
EFCAB6,Q5THR3
SHLD1,""
SHLD1,Q8IYI0
LRCH1,Q9Y2L9
EFCAB6,""
SLX4IP,Q5VYV7
LRCH1,""
SLX4IP,""
CDH20,Q9HBT6
DEFB125,Q8N687
BMP2,P12643
FAM110A,Q9BQ89
PKNOX1,""
CDADC1,Q9BWV3
CDADC1,""
FAM110A,""
INSM1,Q01101
DEFB128,Q7Z7B8
PKNOX1,P55347
DEFB126,Q9BYW3
BTBD3,Q9Y2F9
BTBD3,""
PTPN2,P17706
PTPN2,""
DIS3,Q9Y2L1
DIS3,""
PCSK2,P16519
TBC1D22A,Q8WUA7
PRR20C,P86479
TBC1D22A,""
SLITRK6,Q9H5Y7
PHLPP1,O60346
ZNF343,Q6P1L6
ZNF343,""
PHLPP1,""
ZMYM5,Q9UJ78
SOX1,O00570
ISM1,B1AKI9
CST5,P28325
CBS,P35520
CDH19,Q9H159
SYNDIG1,Q9H7V2
CDH19,""
CBS,""
C18orf21,Q32NC0
C18orf21,""
RPL3,""
MYO16,Q9Y6X6
XRN2,Q9H0D6
RPL3,P39023
MYO16,""
IRS2,Q9Y4H2
KCTD1,Q719H9
SNRPB2,P08579
KCTD1,""
U2AF1,Q01081
SPACA7,Q96KW9
SPACA7,""
CST7,O76096
STOML3,Q8TAV4
ANKRD10,Q9NXR5
SLC39A6,Q13433
ANKRD10,""
APMAP,""
SLC39A6,""
APMAP,Q9HDC9
U2AF1,""
GTSE1,Q9NYZ3
NALF1,B1AL88
ZBTB14,O43829
ZBTB14,""
GALR1,P47211
BFSP1,Q12934
ZNF521,Q96K83
ZNF521,""
GGTLC1,Q9BX51
SAMM50,Q9Y512
CST2,P09228
SETD4,Q9NVD3
DSTN,P60981
TTC38,""
IMPACT,Q9P2X3
DSTN,""
IMPACT,""
PCCA,P05165
PCCA,""
STK35,Q8TDR2
STK35,""
SETD4,""
SCRT2,Q9NQ03
CBLN2,Q8IUK8
TTC38,Q5R3I4
CBLN2,""
NCOA6,""
SLC19A1,""
SLC19A1,P41440
NCOA6,Q14686
DEFB127,Q9H1M4
TRIOBP,Q9H2D6
SPTLC3,""
TRIOBP,""
MBP,P02686
SPTLC3,Q9NUV7
TUBGCP3,Q96CW5
TUBGCP3,""
MBP,""
DEFB115,Q30KQ5
PIM3,Q86V86
OBI1,Q5W0B1
UBL3,O95164
MLNR,O43193
DENND6B,Q8NEG7
DENND6B,""
SLC23A2,Q9UGH3
SLC23A2,""
CST9L,Q9H4G1
FLT3,P36888
CERK,Q8TCT0
FLT3,""
CERK,""
TASP1,Q9H6P5
TASP1,""
FAM216B,Q8N7L0
WFDC9,Q8NEX5
MTCL2,O94964
MTCL2,""
COL18A1,P39060
WFDC10A,Q9H1F0
COL18A1,""
TMEM241,""
ITM2B,""
ITM2B,Q9Y287
PPP1R16B,Q96T49
TRIM13,""
TMEM241,Q24JQ0
TRIM13,O60858
FAM3B,P58499
KCNRG,Q8N5I3
FAM3B,""
PPP6R2,O75170
FAM124A,Q86V42
ELP2,""
ZAR1L,A6NP61
PPP6R2,""
DHX35,""
DHX35,Q9H5Z1
RTL6,Q6ICC9
ADAMTS1,Q9UHI8
ADAMTS1,""
PVALB,P20472
PVALB,""
N4BP2L1,Q5TBK1
MIS18A,Q9NYP9
N4BP2L1,""
MRAP,Q8TCY5
SYNGR1,O43759
SYNGR1,""
CSNK1A1L,Q8N752
RFXAP,O00287
TOX2,Q96NM4
TOX2,""
WFDC11,Q8NEX6
WDR4,P57081
RIPOR3,""
PDGFB,P01127
PDGFB,""
RIPOR3,Q96MK2
FAM83D,""
FAM83D,Q9H4H8
MPPED1,O15442
MPPED1,""
SLC2A10,O95528
SLC2A10,""
KCNB1,""
PKDREJ,Q9NTG1
KCNB1,Q14721
NDUFV3,P56181
CDH22,Q9UJ99
TRPC4,Q9UBN4
ANKRD54,Q6NXT1
GABPA,Q06546
ANKRD54,""
ELP2,Q6IA86
CLIC6,Q96NY7
TRPC4,""
TSPO,P30536
TSPO,""
CD226,""
CPB2,Q96IY4
CPB2,""
SHISAL1,Q3SXP7
CD226,Q15762
ZNRF3,Q9ULT6
TPTE,P56180
TPTE,""
NCOA3,Q9Y6Q9
LCP1,P13796
LCP1,""
RFPL3,O75679
SYNJ1,""
SIAH3,Q8IW03
MC3R,P41968
RTCB,Q9Y3I0
PREX1,""
YWHAH,""
YWHAH,Q04917
SYNJ1,O43426
NALCN,Q8IZF0
NALCN,""
ASPHD2,Q6ICH7
SRRD,Q9UH36
PREX1,Q8TCU6
CCDC168,Q8NDH2
TFIP11,Q9UBB9
TEX30,Q5JUR7
TEX30,""
RBM11,P57052
PTGIS,Q16647
HSPA13,P48723
TFIP11,""
BIVM-ERCC5,""
CBLN4,Q9NTU7
BIVM,""
CRYBB1,P53674
BIVM,Q86UB2
ATP9A,""
CRYBA4,P53673
ATP9A,O75110
PSMG1,O95456
PSMG1,""
C1QTNF6,Q9BXI9
C1QTNF6,""
SSTR3,P32745
GAS6,Q14393
NUDT15,Q9NV35
MED4,""
RALY,Q9UKM9
PIGN,""
RALY,""
MED4,Q9NPJ6
PRKX,P51817
SGCG,Q13326
RBM26,""
VCX2,Q9H322
CFAP61,""
RBM26,Q5T8P6
TMPRSS6,Q8IU80
TMPRSS6,""
BRWD1,Q9NSI6
CFAP61,Q8NHU2
BRWD1,""
AMELX,Q99217
SHROOM2,Q13796
SHROOM2,""
DGKH,Q86XP1
SLC17A9,Q9BYT1
SPECC1L,Q69YQ0
SPECC1L,""
DGKH,""
ADIPOR2,Q86V24
SLC17A9,""
ANOS1,P23352
SPECC1L-ADORA2A,""
PSMA7,""
ADORA2A,""
PSMA7,O14818
ADORA2A,P29274
HMGN1,""
RBBP8NL,Q8NC74
PIGN,O95427
UPB1,""
HMGN1,P05114
CST3,P01034
SUCLA2,Q9P2R7
UPB1,Q9UBR1
FAM9B,Q8IZU0
SUCLA2,""
SNRPD3,P62318
GID8,Q9NWU2
CACNA2D4,""
HCCS,P53701
GET1-SH3BGR,""
LRRC75B,""
PCP4,P48539
LRRC75B,Q2VPJ9
PCP4,""
PMEPA1,Q969W9
GPR183,P32249
ABHD13,Q7L211
PMEPA1,""
NLGN4X,Q8N0W4
NLGN4X,""
GGT1,""
ESD,P10768
ESD,""
DSCAM,O60469
FAM9A,Q8IZU1
HTR2A,P28223
DSCAM,""
HTR2A,""
MOCOS,Q96EN8
EIF2S2,P20042
SOX18,P35713
TDRD3,Q9H7E2
TDRD3,""
SRPX,P78539
NETO1,Q8TDF5
NETO1,""
BACE2,Q9Y5Z0
GRPR,P30550
BEND2,Q8NDZ0
TMEM47,Q9BQJ4
ACSS1,Q9NUB1
KLHL34,Q8N239
ACSS1,""
GGT1,P19440
SPART,Q8N0X7
SMPX,Q9UHP9
RIPK4,P57078
CNDP2,""
DOK5,Q9P104
TFF2,Q03403
CACNA2D4,Q7Z3S7
TFF1,P04155
TAFA5,Q7Z5A7
TAFA5,""
B4GALT5,O43286
CNDP2,Q96KP4
SALL4,Q9UJQ4
SALL4,""
SCP2D1,Q9UJQ7
BHLHE23,""
BHLHE23,Q8NDY6
STK24,Q9Y6E0
STK24,""
MAPK1,P28482
TMPRSS3,P57727
CDH4,P55283
CDH4,""
TMPRSS3,""
LRTM2,Q8N967
RCBTB2,O95199
LRTM2,""
RCBTB2,""
SLITRK1,Q96PX8
CNDP1,Q96KN2
CNDP1,""
DCP1B,Q8IZD4
UBASH3A,""
DCP1B,""
IFT88,Q13099
IFT88,""
TWSG1,Q9GZX9
TWSG1,""
DOK6,Q6PKX4
DOK6,""
NDRG3,""
CNKSR2,""
NDRG3,Q9UGV2
TMTC4,Q5T4D3
CARMIL3,Q8ND23
UBASH3A,P57075
KIAA1328,""
RPS21,P63220
RPS21,""
TMTC4,""
KIAA1328,Q86T90
SS18L1,""
MTMR3,Q13615
MTMR3,""
SS18L1,O75177
RSPH1,Q8WYR4
SLC37A1,""
EPSTI1,Q96J88
SLC37A1,P57057
EPSTI1,""
CPNE6,O95741
CPNE6,""
OR4M2-OT1,""
TNFRSF19,Q9NS68
GOLGA6L1,Q8N7Z2
CNKSR2,Q8WXI2
PEBP4,Q96S96
RAB20,Q9NX57
PEBP4,""
PIAS2,O75928
PIAS2,""
NFATC2,Q13469
NRL,P54845
NRL,""
ADARB2,Q9NS39
ADARB2,""
HDHD2,""
CARS2,Q9HA77
GFRA2,O00451
GFRA2,""
KLF6,Q99612
ZFYVE19,""
HDHD2,Q9H0R4
CARS2,""
ZFYVE19,Q96K21
SYTL5,Q8TDW5
PCK2,""
SGCZ,Q96LD1
SGCZ,""
MYO18B,Q8IUG5
PCK2,Q16822
IER3IP1,Q9Y5U9
IER3IP1,""
SKOR2,Q2VWA4
KBTBD6,Q86V97
MYO18B,""
EGR3,Q06889
KBTBD7,Q8WVZ9
EGR3,""
ATP5F1C,P36542
TGIF1,""
SYCP2,Q9BX26
SYCP2,""
TGIF1,Q15583
DCAF11,""
MTRF1,O75570
SGSM3,""
MTRF1,""
NUBPL,""
EBF2,Q9HAK2
EBF2,""
OCA2,Q04671
OCA2,""
NUBPL,Q8TB37
ERICH1,""
SGSM3,Q96HU1
ERICH1,Q86X53
NAA16,Q6N069
DPH6,Q7L8W6
DPH6,""
C15orf62,A8K5M9
RGCC,Q9H4X1
SPRED1,Q7Z699
ITIH2,P19823
SPRED1,""
SNX6,Q9UNH7
ITIH2,""
VPS37A,Q8NEZ2
VPS37A,""
LAMA5,O15230
TAF4B,Q92750
DCAF11,Q8TEB1
TAF4B,""
CCDC3,Q9BQI4
LAMA5,""
PMAIP1,Q13794
SNX6,""
LSM14B,""
STC1,P52823
FMN1,Q68DA7
LSM14B,Q9BX40
FMN1,""
MORC2,Q9Y6X9
KIN,O60870
MORC2,""
KIN,""
TRIM35,Q9UPQ4
TRIM35,""
VWA8,A3KMH1
ACBD7,Q8N6N7
DSG4,Q86SJ6
RPP38,P78345
RPP38,""
GABRG3,Q99928
GABRG3,""
PCNX4,""
DGCR6,""
MAK16,Q9BXY0
RAP2A,P10114
RAP2A,""
PCNX4,Q63HM2
MAK16,""
LPAR6,P43657
DSG3,P32926
RCL1,Q9Y2P8
DGCR6,Q14129
RCL1,""
SIX1,Q15475
FITM1,A5D6W6
SIX1,""
PIGG,""
TTR,""
TTR,P02766
BRD10,""
NAXD,""
NAXD,Q8IW45
PRTG,Q2VWP7
PRTG,""
GJA3,Q9Y6H8
GJB2,P29033
PSME1,""
DNAL4,O96015
PHACTR3,Q96KR7
PHACTR3,""
DNAL4,""
ITIH5,""
BRD10,Q5HYC2
HMBOX1,Q6NT76
HMBOX1,""
CDH2,""
CBX6,O95503
GJB6,O95452
CBX6,""
GJB6,""
FUT10,Q6P4F1
CNTLN,Q9NXG0
TMEM215,Q68D42
APOBEC3B,Q9UH17
PDE9A,O76083
PIGG,Q5H8A4
DMRTA1,Q5VZB9
RAD51,""
APOBEC3B,""
PSME1,Q06323
APOBEC3C,Q9NRW3
APOBEC3C,""
MRC1,P22897
APOBEC3F,Q8IUX4
CDH2,P19022
RAD51,Q06609
PPP2R5E,Q16537
EMC9,""
TCEA2,Q15560
HAUS6,Q7Z4H7
EMC9,Q9Y3B6
HAUS6,""
RPL17-C18orf32,""
UNC5D,Q6UXZ4
ZMYM2,Q9UBW7
UNC5D,""
TCEA2,""
APOBEC3G,Q9HC16
ZMYM2,""
GOLM2,""
STYX,Q8WUJ0
GOLM2,Q6P4E1
GATA5,Q9BWX5
CUBN,O60494
L3HYPDH,Q96EM0
CUBN,""
LIPG,""
SLC2A9,Q9NRM0
TAB1,Q15750
L3HYPDH,""
SLC2A9,""
MGAT3,Q09327
MGAT3,""
C14orf39,""
LIPG,Q9Y5X9
EEF1AKMT1,Q8WVE0
PSME2,""
DYM,""
DYM,Q7RTS9
LATS2,Q9NRM7
PSME2,Q9UL46
C14orf39,Q8N1H7
DHX15,O43143
MSR1,P21757
MIEF1,""
MSR1,""
SIX6,O95475
PSIP1,O75475
MIEF1,Q9NQG6
RBL1,P28749
RBL1,""
MEX3C,Q5U5Q3
TRDMT1,""
SIX4,Q9UIU6
MEX3C,""
ADGRG2,Q8IZP9
PSIP1,""
RAB40C,""
SIX4,""
ZNF595,Q8IYB9
ZNF595,""
RPS19BP1,Q86WX3
RAB40C,Q96S21
PPM1A,P35813
RPS19BP1,""
PPM1A,""
RNF31,""
SHC4,Q6S5L8
TRDMT1,O14717
NHLRC4,P0CG21
SHC4,""
CPZ,Q66K79
RAI2,Q9Y5P3
CCDC175,P0C221
ADRM1,Q16186
ADRM1,""
CENPJ,Q9HC77
CCDC175,""
CPZ,""
MINDY3,""
RAI2,""
SLC25A18,Q9H1K4
CENPJ,""
APH1B,""
SHISA2,Q6UWI4
APH1B,Q8WW43
MINDY3,Q9H8M7
DPYSL2,""
DPYSL2,Q16555
DHRS7,Q9Y394
DHRS7,""
STK32B,Q9NY57
RXFP2,Q8WXD0
STK32B,""
SLC25A37,Q9NYZ2
SLC25A37,""
RNF31,Q96EP0
MSX1,P28360
APTX,Q7Z2E3
ATP6V1E1,P36543
CTPS2,Q9NRF8
MBOAT4,Q96T53
CTPS2,""
ATP6V1E1,""
PHF20,Q9BVI0
CYTL1,Q9NRR1
DOCK5,""
CYTL1,""
S100G,P29377
PHF20,""
SIK1,P57059
H2AP,O75409
SIK1,""
DOCK5,Q9H7D0
FRMD5,Q7Z6J6
APTX,""
TRMT44,Q8IYL2
RP2,O75695
FRMD5,""
TRMT44,""
HSF2BP,O75031
ARMC3,Q5W041
HSF2BP,""
H2BC12L,P57053
DRD5,P21918
MBTPS2,O43462
MBTPS2,""
MAGEB17,A8MXT2
FAM47B,Q8NA70
IRF9,Q00978
ARMC3,""
IRF9,""
RBPJL,Q9UBG7
RBPJL,""
DNMT3L,Q9UJW3
SDC4,P31431
DNMT3L,""
SCML2,Q9UQR0
SCML2,""
FRY,""
PCNX1,Q96RV3
SYS1,Q8N2H4
SYS1,""
FRY,Q5TBA9
PCNX1,""
LEPROTL1,O95214
LEPROTL1,""
PIP4K2A,P48426
LDB2,""
PIP4K2A,""
GPHB5,Q86YW7
EFHC2,Q5JST6
SYS1-DBNDD2,""
CTDSPL2,Q05D32
CTDSPL2,""
AIRE,O43918
CHST7,Q9NS84
REC8,O95072
LDB2,O43679
C10orf67,""
REC8,""
TP53TG5,Q9Y2B4
C10orf67,Q8IYJ2
ADRA1A,P35348
ADRA1A,""
STX16-NPEPL1,""
FAM234A,""
FAM234A,Q9H0X4
MALRD1,Q5VYJ5
MALRD1,""
ST8SIA6,""
DUSP26,Q9BV47
DUSP26,""
PDS5B,Q9NTI5
MNAT1,P51948
CCNB2,O95067
ST8SIA6,P61647
NKX3-1,Q99801
ADGRA3,""
MNAT1,""
CCNB2,""
PDS5B,""
CCDC177,Q9NQR7
LDHAL6B,Q9BYZ2
PFKL,""
CLCN5,P51795
NPEPL1,Q8NDH3
CLCN5,""
UTP14C,Q5TAP6
COPS2,""
MAGEB10,Q96LZ2
MKX,Q8IYA7
LOXL2,Q9Y4K0
MKX,""
LOXL2,""
NPEPL1,""
GDF2,Q9UK05
ITIH6,Q6UXX5
ADGRA3,Q8IWK6
PTCHD1,Q96NR3
CCDC171,Q6TFL3
PTCHD1,""
CCDC171,""
AXIN1,O15169
AXIN1,""
PCMTD1,Q96MG8
SYAP1,Q96A49
JKAMP,Q9P055
PCMTD1,""
MTMR8,Q96EF0
GPR78,""
PFKL,P17858
JKAMP,""
MICAL3,Q7RTP6
GPR78,Q96P69
MICAL3,""
ODAD2,""
SH3GL2,Q99962
IPO4,Q8TEX9
LURAP1L,Q8IV03
C4orf19,Q8IY42
C4orf19,""
ODAD2,Q5T2S8
RHOJ,""
INTS6,Q9UL03
RHOJ,Q9H4E5
BNIP3L,O60238
TBC1D19,""
CFAP410,O43822
BNIP3L,""
COPS2,P61201
SOCS4,Q8WXH5
INTS6,""
NELFCD,""
ICE1,""
LRRC3,Q9BY71
ITGA8,P53708
CCDC70,Q6NSX1
GPR18,Q14330
SMAD6,O43541
ICE1,Q9Y2F5
SMAD6,""
TSPEAR,Q8WU66
NELFCD,Q8IXH7
KCNH5,Q8NCM2
MTUS2,Q5JR59
TSPEAR,""
NFX1,Q12986
SUSD6,Q92537
KRTAP10-1,P60331
KRTAP10-2,P60368
KRTAP10-3,P60369
KRTAP10-5,P60370
KRTAP10-6,P60371
KRTAP10-7,P60409
KRTAP10-8,P60410
KRTAP10-10,P60014
KRTAP10-11,P60412
KRTAP12-4,P60329
KRTAP12-3,P60328
ADAMTS16,""
KRTAP12-2,P59991
KRTAP12-1,P59990
SLC39A12,Q504Y0
TUBB1,Q9H4B7
TNFSF13B,Q9Y275
ADAMTS16,Q8TE57
ATP5F1E,P56381
MISP,Q8IVT2
UBE2G2,P60604
IPO4,""
KIF13B,Q9NQT8
KIF13B,""
ABCA3,Q99758
EGLN3,Q9H6Z9
ABCA3,""
CDKL5,O76039
EGLN3,""
UBE2G2,""
TRMU,""
CDKL5,""
PRELID3B,Q9Y3B1
RNF6,Q9Y252
ARID3A,Q99856
PRELID3B,""
ARID3A,""
FASTKD3,Q14CZ7
TBC1D19,Q8N5T2
GRHPR,Q9UBQ7
SPTSSA,Q969W0
PTTG1IP,""
GDF5,P43026
DCTN6,O00399
ZFAND4,Q86XD8
TMEM204,Q9BSN7
ZFAND4,""
TRMU,O75648
FASTKD3,""
DCTN6,""
PTTG1IP,P53801
SLTM,Q9NWH9
